,132,,0.0204,,175,0.0526,,218,0.0707,,261,0.0854,
,133,,0.0306,,176,0.0530,,219,0.0711,,262,0.0857,
,134,,0.0312,,177,0.0535,,220,0.0714,,263,0.0859,
,135,,0.0318,,178,0.0540,,221,0.0718,,264,0.0862,
,136,,0.0324,,179,0.0544,,222,0.0721,,265,0.0865,
,137,,0.0330,,180,0.0549,,223,0.0725,,266,0.0868,
,138,,0.0336,,181,0.0554,,224,0.0728,,267,0.0871,
,139,,0.0342,,182,0.0558,,225,0.0732,,268,0.0874,
,140,,0.0348,,183,0.0563,,226,0.0736,,269,0.0877,
,141,,0.0354,,184,0.0568,,227,0.0739,,270,0.0880,
,142,,0.0360,,185,0.0573,,228,0.0743,,271,0.0883,
,143,,0.0366,,186,0.0577,,229,0.0746,,272,0.0886,
,144,,0.0372,,187,0.0582,,230,0.0750,,273,0.0889,
,145,,0.0378,,188,0.0587,,231,0.0753,,274,0.0892,
,146,,0.0384,,189,0.0591,,232,0.0757,,275,0.0895,
,147,,0.0390,,190,0.0596,,233,0.0760,,276,0.0898,
,148,,0.0396,,191,0.0601,,234,0.0764,,277,0.0901,
,149,,0.0402,,192,0.0605,,235,0.0768,,278,0.0904,
,150,,0.0408,,193,0.0610,,236,0.0771,,279,0.0907,
,151,,0.0413,,194,0.0615,,237,0.0775,,280,0.0910,
,152,,0.0417,,195,0.0620,,238,0.0778,,281,0.0913,
,153,,0.0422,,196,0.0624,,239,0.0782,,282,0.0916,
,154,,0.0427,,197,0.0629,,240,0.0785,,283,0.0919,
,155,,0.0432,,198,0.0634,,241,0.0789,,284,0.0922,
,156,,0.0436,,199,0.0638,,242,0.0793,,285,0.0925,
,157,,0.0441,,200,0.0643,,243,0.0796,,286,0.0928,
,158,,0.0446,,201,0.0647,,244,0.0800,,287,0.0931,
,159,,0.0450,,202,0.0650,,245,0.0803,,288,0.0933,
,160,,0.0455,,203,0.0654,,246,0.0807,,289,0.0936,
,161,,0.0460,,204,0.0657,,247,0.0810,,290,0.0939,
,162,,0.0464,,205,0.0661,,248,0.0814,,291,0.0942,
,163,,0.0469,,206,0.0664,,249,0.0817,,292,0.0945,
,164,,0.0474,,207,0.0668,,250,0.0821,,293,0.0948,
,165,,0.0479,,208,0.0671,,251,0.0824,,294,0.0951,
,166,,0.0483,,209,0.0675,,252,0.0827,,295,0.0954,
,167,,0.0488,,210,0.0679,,253,0.0830,,296,0.0957,
,168,,0.0493,,211,0.0682,,254,0.0833,,297,0.0960,
,169,,0.0497,,212,0.0686,,255,0.0836,,298,0.0963,
,170,,0.0502,,213,0.0689,,256,0.0839,,299,0.0966,
,171,,0.0507,,214,0.0693,,257,0.0842,,300,0.0969,
,172,,0.0511,,215,0.0696,,258,0.0845,,,,
,173,,0.0516,,216,0.0700,,259,0.0848,,,,
,174,,0.0521,,217,0.0704,,260,0.0851,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
